data/52capture2/18%F2%AC32%F2b_723.JPG,As
data/52capture2/18%F2%AC36%F2b_498.JPG,2s
data/52capture2/18%F2%AC48%F2b_917.JPG,3s
data/52capture2/18%F2%AC58%F2b_261.JPG,4s
data/52capture2/19%F2%AC03%F2b_410.JPG,5s
data/52capture2/19%F2%AC09%F2b_619.JPG,6s
data/52capture2/19%F2%AC16%F2b_859.JPG,7s
data/52capture2/19%F2%AC25%F2b_142.JPG,8s
data/52capture2/19%F2%AC31%F2b_351.JPG,9s
data/52capture2/19%F2%AC37%F2b_544.JPG,10s
data/52capture2/19%F2%AC45%F2b_844.JPG,Js
data/52capture2/19%F2%AC54%F2b_113.JPG,Qs
data/52capture2/20%F2%AC02%F2b_429.JPG,Ks
data/52capture2/20%F2%AC10%F2b_712.JPG,Ah
data/52capture2/20%F2%AC17%F2b_950.JPG,2h
data/52capture2/20%F2%AC24%F2b_144.JPG,3h
data/52capture2/20%F2%AC29%F2b_323.JPG,4h
data/52capture2/20%F2%AC35%F2b_503.JPG,5h
data/52capture2/20%F2%AC41%F2b_773.JPG,6h
data/52capture2/20%F2%AC49%F2b_058.JPG,7h
data/52capture2/20%F2%AC55%F2b_267.JPG,8h
data/52capture2/21%F2%AC00%F2b_431.JPG,9h
data/52capture2/21%F2%AC07%F2b_919.JPG,10h
data/52capture2/21%F2%AC14%F2b_191.JPG,Jh
data/52capture2/21%F2%AC22%F2b_475.JPG,Qh
data/52capture2/21%F2%AC29%F2b_791.JPG,Kh
data/52capture2/21%F2%AC38%F2b_045.JPG,Ad
data/52capture2/21%F2%AC44%F2b_258.JPG,2d
data/52capture2/21%F2%AC51%F2b_493.JPG,3d
data/52capture2/21%F2%AC57%F2b_717.JPG,4d
data/52capture2/22%F2%AC04%F2b_940.JPG,5d
data/52capture2/22%F2%AC11%F2b_150.JPG,6d
data/52capture2/22%F2%AC18%F2b_372.JPG,7d
data/52capture2/22%F2%AC25%F2b_658.JPG,8d
data/52capture2/22%F2%AC32%F2b_912.JPG,9d
data/52capture2/22%F2%AC38%F2b_077.JPG,10d
data/52capture2/22%F2%AC44%F2b_254.JPG,Jd
data/52capture2/22%F2%AC50%F2b_464.JPG,Qd
data/52capture2/22%F2%AC56%F2b_750.JPG,Kd
data/52capture2/23%F2%AC03%F2b_989.JPG,Ac
data/52capture2/23%F2%AC09%F2b_152.JPG,2c
data/52capture2/23%F2%AC16%F2b_407.JPG,3c
data/52capture2/23%F2%AC21%F2b_619.JPG,4c
data/52capture2/23%F2%AC29%F2b_887.JPG,5c
data/52capture2/23%F2%AC38%F2b_123.JPG,6c
data/52capture2/23%F2%AC45%F2b_378.JPG,7c
data/52capture2/23%F2%AC53%F2b_724.JPG,8c
data/52capture2/24%F2%AC01%F2b_962.JPG,9c
data/52capture2/24%F2%AC10%F2b_215.JPG,10c
data/52capture2/24%F2%AC18%F2b_499.JPG,Jc
data/52capture2/24%F2%AC27%F2b_016.JPG,Qc
data/52capture2/24%F2%AC30%F2b_122.JPG,null
data/52capture2/24%F2%AC35%F2b_285.JPG,Kc
